"victim_zip","SpeciesIDDesc","bite_date","BreedIDDesc","GenderIDDesc","color","vaccination_yrs","vaccination_date","AdvIssuedYNDesc","WhereBittenIDDesc","quarantine_date","DispositionIDDesc","head_sent_date","release_date","ResultsIDDesc","datadif","year","month","season","total","class","CountryCode","PlaceName","AdminName1","AdminCode1","AdminName2","AdminCode2","AdminName3","AdminCode3","latitude","longitude","accuracy"
"11215","DOG",2013-08-09,NA,"MALE","BLACK",1,"2013-08-12 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,8,"summer",7003,"domestic","US","Brooklyn","New York","NY","Kings",47,"",NA,40.6669,-73.9828,4
"13440","DOG",2011-07-02,"SIBERAN HUSKY","MALE","RED-WHT",NA,"2009-10-23 00:00:00","NO","HEAD","2011-07-05 00:00:00",NA,NA,NA,NA,NA,2011,7,"summer",7003,"domestic","US","Rome","New York","NY","Oneida",65,"",NA,43.2193,-75.4498,4
"14226",NA,2012-01-18,NA,NA,NA,NA,NA,"YES","HEAD",NA,NA,NA,NA,NA,NA,2012,1,"winter",107,"wildlife","US","Buffalo","New York","NY","Erie",29,"",NA,42.9744,-78.7949,4
"15237","DOG",2014-11-27,"LABRADOR RETRIV","MALE","BLACK",1,"2014-06-14 00:00:00",NA,"BODY",NA,NA,NA,"2014-12-08 00:00:00",NA,NA,2014,11,"fall",7003,"domestic","US","Pittsburgh","Pennsylvania","PA","Allegheny",3,"",NA,40.5488,-80.0474,4
"19341","DOG",2013-08-09,"COCKER SPAINEL","MALE","BROWN",1,"2012-08-30 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,8,"summer",7003,"domestic","US","Exton","Pennsylvania","PA","Chester",29,"",NA,40.0468,-75.6432,4
"20016","DOG",2015-01-02,"BORDER COLLIE","MALE","TRI",1,"2015-01-22 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2015,1,"winter",7003,"domestic","US","Washington","District of Columbia","DC","District of Columbia",1,"",NA,38.9381,-77.086,4
"20151","DOG",2010-10-09,NA,"FEMALE","GRAY",1,"2010-07-16 00:00:00","NO","BODY","2010-10-11 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,10,"fall",7003,"domestic","US","Chantilly","Virginia","VA","Fairfax",59,"",NA,38.8867,-77.4457,4
"22989","DOG",2013-07-25,NA,"MALE","TAN WHITE",1,"2012-09-04 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2013,7,"summer",7003,"domestic","US","Woodberry Forest","Virginia","VA","Madison",113,"",NA,38.2912,-78.1225,1
"24091","DOG",2011-10-29,NA,"MALE","WHITE",3,"2010-08-26 00:00:00","NO","BODY","2011-10-31 00:00:00","RELEASED",NA,NA,NA,NA,2011,10,"fall",7003,"domestic","US","Floyd","Virginia","VA","Floyd",63,"",NA,36.8957,-80.3275,4
"24248","DOG",2017-02-09,NA,"MALE","BRN WHT",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2017,2,"winter",7003,"domestic","US","Ewing","Virginia","VA","Lee",105,"",NA,36.6237,-83.5047,4
"27050","DOG",2012-10-28,NA,NA,NA,NA,NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,2012,10,"fall",7003,"domestic","US","Tobaccoville","North Carolina","NC","Forsyth",67,"",NA,36.2336,-80.3915,4
"27106","CAT",2016-11-04,NA,NA,"BLK WHT",3,"2016-11-10 00:00:00","YES","BODY",NA,NA,NA,NA,NA,NA,2016,11,"fall",1561,"domestic","US","Winston-Salem","North Carolina","NC","Forsyth",67,"",NA,36.1428,-80.3069,4
"28103","DOG",2015-04-26,"GERM SHEPHERD","MALE","BLACK",1,"2014-08-08 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2015,4,"spring",7003,"domestic","US","Marshville","North Carolina","NC","Union",179,"",NA,35.0167,-80.3781,4
"28654","DOG",2014-04-19,"DACHSHUND","FEMALE","BLK GRAY",NA,"2014-05-05 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,4,"spring",7003,"domestic","US","Moravian Falls","North Carolina","NC","Wilkes",193,"",NA,36.0788,-81.1781,4
"29455","DOG",2011-06-12,"BORDER COLLIE","FEMALE","BLACK-WHT",3,"2010-07-29 00:00:00","NO","HEAD","2011-06-13 00:00:00",NA,NA,NA,NA,NA,2011,6,"summer",7003,"domestic","US","Johns Island","South Carolina","SC","Charleston",19,"",NA,32.7924,-80.1081,4
