"latitude","longitude","count"
26.8234,-80.1387,1
27.1968,-80.2538,1
27.2889,-80.298,1
27.3896,-80.2615,1
28.9341,-81.9599,1
29.5564,-95.144,1
29.6562,-98.4967,1
29.8678,-95.8298,1
30.0688,-94.1039,1
30.0815,-81.5477,1
30.2717,-87.7589,1
30.3989,-89.2843,1
30.5317,-91.1167,1
31.348,-85.7214,1
31.8533,-106.4381,1
32.5401,-85.0985,1
32.5927,-86.2153,1
32.7924,-80.1081,1
32.8455,-117.2521,1
33.832,-84.3851,1
33.9282,-84.4733,1
34.772,-98.4073,1
34.9708,-81.4306,1
35.0167,-80.3781,1
35.7279,-85.4287,1
36.0595,-86.6592,1
36.0788,-81.1781,1
36.1065,-114.9192,1
36.1067,-86.7743,1
36.1428,-80.3069,1
36.1901,-86.8053,1
36.2098,-86.3024,1
36.2336,-80.3915,1
36.3054,-86.6072,1
36.3339,-82.3408,1
36.6237,-83.5047,1
36.7723,-85.8195,1
36.802,-87.8286,1
36.8957,-80.3275,1
36.93,-88.6223,1
36.9375,-86.4481,1
36.9882,-85.9221,1
37.0634,-88.6632,1
37.0922,-88.7611,1
37.1852,-93.2057,1
37.243,-85.5236,1
37.2898,-85.9201,1
37.3146,-84.9719,1
37.3254,-88.1005,1
37.3466,-85.3508,2
37.3683,-87.6865,1
37.4336,-86.2083,1
37.4568,-85.9086,1
37.4603,-86.3249,1
37.5278,-86.1395,1
37.5658,-85.2668,2
37.6047,-85.4251,1
37.6421,-85.4113,1
37.6465,-84.7747,2
37.6792,-86.4273,1
37.6848,-85.8784,6
37.7342,-85.2107,3
37.7525,-85.9954,2
37.7546,-84.2955,2
37.7559,-87.0803,1
37.8083,-85.4613,11
37.8267,-85.9404,15
37.8511,-85.7246,3
37.8589,-86.0069,2
37.8762,-86.2965,1
37.8928,-85.9489,1
37.8951,-86.2155,1
37.908,-85.2862,1
37.9113,-86.1542,1
37.9125,-85.4658,4
37.9215,-83.2596,1
37.9637,-87.3938,1
37.9662,-86.1084,4
37.9954,-85.9545,2
38.0045,-85.6888,36
38.0102,-84.4274,1
38.0283,-84.4715,1
38.0352,-85.1641,1
38.0406,-84.5433,1
38.0437,-86.1846,1
38.0452,-85.5586,19
38.0471,-85.3829,23
38.0527,-86.0844,1
38.0546,-85.7713,2
38.0612,-84.4583,2
38.0846,-85.851,371
38.0891,-85.6548,295
38.0932,-84.5007,2
38.1054,-85.1288,1
38.1071,-87.5256,1
38.1087,-85.7549,82
38.1313,-85.5754,352
38.1381,-85.6953,279
38.1442,-85.6265,132
38.1457,-85.8641,208
38.1561,-85.3476,1
38.1593,-85.778,336
38.1652,-85.4282,12
38.1768,-85.5218,319
38.1839,-85.7106,168
38.1865,-85.8335,353
38.189,-85.6768,7
38.189,-85.654,247
38.1901,-85.7519,5
38.1913,-85.7847,342
38.2149,-85.6245,222
38.2162,-85.2243,16
38.2174,-85.7404,122
38.2189,-86.1145,3
38.22,-85.7648,114
38.2222,-85.6885,185
38.2281,-84.8697,1
38.2306,-85.7905,122
38.2312,-85.3548,5
38.2369,-85.7249,125
38.242,-85.8127,207
38.2422,-85.5353,74
38.2448,-85.9593,2
38.2493,-85.7694,150
38.2503,-85.7034,153
38.2507,-85.7476,50
38.2536,-85.6622,1
38.2542,-85.7594,1
38.2628,-85.6663,202
38.2651,-85.8045,220
38.2651,-85.5582,192
38.2674,-85.6237,159
38.2683,-85.4845,234
38.2785,-85.594,69
38.2876,-86.0664,1
38.2912,-78.1225,1
38.3029,-85.9617,4
38.3034,-86.169,2
38.3039,-85.4834,5
38.3045,-85.5815,219
38.3078,-85.7359,31
38.3089,-85.8221,31
38.311,-85.7645,11
38.3326,-85.461,26
38.3399,-86.0887,3
38.351,-85.8996,4
38.356,-85.6083,70
38.3598,-85.1072,1
38.3696,-85.1782,2
38.4029,-85.3928,16
38.4046,-85.788,6
38.4105,-86.0888,2
38.4113,-85.5708,3
38.4362,-85.9215,2
38.4568,-85.6606,6
38.4921,-85.4524,1
38.4921,-85.252,1
38.4931,-86.017,2
38.4962,-121.5297,1
38.5231,-85.1611,1
38.5507,-86.449,1
38.5864,-85.3133,2
38.5893,-90.3481,1
38.6523,-85.6252,1
38.6696,-85.173,2
38.7649,-85.407,1
38.8867,-77.4457,1
38.9381,-77.086,1
38.9435,-84.7274,1
39.0082,-84.5977,1
39.0873,-84.549,1
39.2119,-83.8021,1
39.2445,-84.2588,1
39.3266,-84.5479,2
39.4293,-84.1735,1
39.4854,-86.0608,1
39.6789,-86.1302,1
39.7154,-86.0933,1
39.7821,-86.0495,1
39.9245,-105.0609,1
39.9648,-83.126,1
39.9712,-86.1245,1
40.0468,-75.6432,1
40.0987,-84.6342,1
40.1146,-85.7253,1
40.2111,-85.4291,1
40.4001,-86.8602,1
40.4976,-82.5857,1
40.5488,-80.0474,1
40.6669,-73.9828,1
40.7776,-111.8749,1
40.8273,-84.9314,1
41.1552,-81.6314,1
41.3132,-81.8285,1
41.6967,-94.3606,1
41.7556,-72.7532,1
41.9293,-83.4448,1
42.1743,-91.9892,1
42.7262,-83.1566,1
42.82,-84.2313,1
42.9744,-78.7949,1
43.073,-89.4528,1
43.1205,-89.3523,1
43.2193,-75.4498,1
45.9186,-89.6954,1
47.6421,-117.1977,1
47.6633,-122.3022,1
61.7327,-148.7837,1
